mach_id,model_cd,pmtc_counter,pmtc_distance,create_update_date
A9CU081000103,C2060,1626438.0,874.0,2025-04-30 02:29:50.000
A9CU081000310,C2060,505166.0,464.0,2025-04-29 23:57:45.000
A9CU081000205,C2060,1630313.0,904.0,2025-04-30 01:11:05.000
A9CU081000207,C2060,944982.0,474.0,2025-04-30 00:01:09.000
A9CU081000110,C2060,3741799.0,1414.0,2025-04-30 23:47:48.000
A9CU081000217,C2060,760361.0,496.0,2025-04-30 02:10:16.000
A9CU081000135,C2060,1493243.0,975.0,2025-04-29 23:50:19.000
A9CU081000025,C2060,788847.0,561.0,2025-04-30 00:39:09.000
A9CU081000081,C2060,706346.0,480.0,2025-04-30 01:18:20.000
A9CU081000172,C2060,2960518.0,1630.0,2025-04-29 03:51:17.000
A9CU081000070,C2060,665721.0,494.0,2025-04-30 04:57:01.000
A9CU081000015,C2060,995497.0,598.0,2025-04-30 01:09:45.000
A9CU081000012,C2060,2190700.0,1216.0,2025-04-30 05:45:21.000
A9CU081000082,C2060,2374274.0,1177.0,2025-04-27 02:02:59.000
A9CU081000071,C2060,3564105.0,1397.0,2025-04-30 06:46:11.000
A9CU081000296,C2060,541487.0,421.0,2025-04-30 01:00:55.000
A9CU081000088,C2060,1653716.0,874.0,2025-04-29 08:00:19.000
A9CU081000203,C2060,2925973.0,1433.0,2025-04-30 03:23:30.000
A9CU081000307,C2060,4322290.0,2244.0,2025-04-30 00:35:59.000
A9CU081000328,C2060,223560.0,214.0,2025-04-30 01:15:35.000
A9CU081000131,C2060,948219.0,483.0,2025-04-30 05:32:27.000
A9CU081000146,C2060,623698.0,450.0,2025-04-30 05:13:27.000
A9CU081000182,C2060,1631964.0,934.0,2025-04-30 04:05:36.000
A9CU081000009,C2060,216653.0,220.0,2025-04-20 00:51:34.000
A9CU081000017,C2060,818321.0,717.0,2025-04-30 02:14:00.000
A9CU081000241,C2060,1297747.0,602.0,2025-04-30 04:55:41.000
A9CU081000257,C2060,4074407.0,1855.0,2025-04-30 00:44:09.000
A9CU081000251,C2060,3938686.0,1826.0,2025-04-30 05:36:27.000
A9CU081000123,C2060,1157117.0,565.0,2025-04-30 02:29:46.000
A9CU081000011,C2060,696874.0,486.0,2025-04-30 04:38:57.000
A9CU081000076,C2060,1174257.0,667.0,2025-04-30 04:29:11.000
A9CU081000134,C2060,2257519.0,1254.0,2025-04-24 09:18:36.000
A9CU081000180,C2060,994212.0,629.0,2025-04-30 03:55:30.000
A9CU081000284,C2060,1762794.0,1054.0,2025-04-30 00:53:09.000
A9CU081000261,C2060,1675988.0,1105.0,2025-04-30 00:47:05.000
A9CU081000248,C2060,1820144.0,1011.0,2025-04-30 04:20:57.000
A9CU081000275,C2060,2543345.0,1294.0,2025-04-30 08:20:08.000
A9CU081000001,C2060,363475.0,233.0,2025-04-30 05:04:47.000
A9CU081000299,C2060,2057466.0,1002.0,2025-04-30 00:10:29.000
A9CU081000014,C2060,3799135.0,1574.0,2025-04-30 06:15:47.000
A9CU081000132,C2060,1953098.0,946.0,2025-04-30 04:45:41.000
A9CU081000062,C2060,1892549.0,1046.0,2025-04-30 00:36:05.000
A9CU081000056,C2060,623853.0,472.0,2025-04-30 03:19:40.000
A9CU081000105,C2060,351156.0,325.0,2025-04-29 07:16:23.000
A9CU081000326,C2060,314564.0,255.0,2025-04-30 01:15:05.000
A9CU081000107,C2060,1450529.0,828.0,2025-04-30 00:29:29.000
A9CU081000026,C2060,1239837.0,700.0,2025-04-30 00:40:39.000
A9CU081000211,C2060,2966334.0,1480.0,2025-04-29 00:24:56.000
A9CU081000323,C2060,1848913.0,1079.0,2025-04-30 03:02:16.000
A9CU081000228,C2060,851347.0,502.0,2025-04-30 04:44:07.000
A9CU081000163,C2060,1413637.0,724.0,2025-04-30 08:30:52.000
A9CU081000087,C2060,473016.0,472.0,2025-04-30 04:36:07.000
A9CU081000170,C2060,486890.0,298.0,2025-04-30 07:27:08.000
A9CU081000200,C2060,1050386.0,726.0,2025-04-30 04:00:30.000
A9CU081000098,C2060,3050075.0,1394.0,2025-04-30 01:28:15.000
A9CU081000287,C2060,4066841.0,1762.0,2025-04-30 07:02:52.000
A9CU081000260,C2060,1815845.0,847.0,2025-04-30 01:38:50.000
A9CU081000341,C2060,303691.0,226.0,2025-04-30 02:37:46.000
A9CU081000202,C2060,586302.0,428.0,2025-04-30 03:40:00.000
A9CU081000344,C2060,2538101.0,1187.0,2025-04-30 04:53:37.000
A9CU081000279,C2060,4063945.0,1969.0,2025-04-30 02:33:56.000
A9CU081000339,C2060,551693.0,407.0,2025-04-30 04:14:26.000
A9CU081000293,C2060,1720047.0,950.0,2025-04-30 00:25:55.000
A9CU081000282,C2060,475497.0,357.0,2025-04-30 01:06:59.000
A9CU081000128,C2060,991039.0,621.0,2025-04-30 05:38:51.000
A9CU081000054,C2060,592301.0,456.0,2025-04-30 00:27:39.000
A9CU081000295,C2060,2042675.0,953.0,2025-04-29 01:44:27.000
A9CU081000016,C2060,1049186.0,494.0,2025-04-30 03:59:10.000
A9CU081000242,C2060,660274.0,437.0,2025-04-30 04:52:31.000
A9CU081000032,C2060,225616.0,161.0,2025-04-30 02:44:46.000
A9CU081000265,C2060,1574915.0,870.0,2025-04-30 08:52:18.000
A9CU081000118,C2060,635980.0,510.0,2025-04-30 04:11:06.000
A9CU081000006,C2060,1757395.0,858.0,2025-04-29 03:15:17.000
A9CU081000223,C2060,702795.0,495.0,2025-04-30 01:20:55.000
A9CU081000187,C2060,575295.0,417.0,2025-04-30 04:29:17.000
A9CU081000277,C2060,2729700.0,1267.0,2025-04-19 00:41:45.000
A9CU081000224,C2060,219665.0,311.0,2025-04-30 00:01:25.000
A9CU081000291,C2060,3219117.0,1204.0,2025-04-30 08:50:28.000
A9CU081000272,C2060,530994.0,397.0,2025-04-30 00:37:46.000
A9CU081000041,C2060,2421691.0,1480.0,2025-04-30 04:59:31.000
A9CU081000181,C2060,382135.0,333.0,2025-04-30 10:33:13.000
A9CU081000288,C2060,456466.0,379.0,2025-04-30 02:11:36.000
A9CU081000162,C2060,448651.0,326.0,2025-04-30 00:17:09.000
A9CU081000340,C2060,2063478.0,1004.0,2025-04-30 04:40:01.000
A9CU081000165,C2060,466099.0,406.0,2025-04-29 00:48:30.000
A9CU081000018,C2060,1573255.0,830.0,2025-04-30 03:19:40.000
A9CU081000152,C2060,345803.0,289.0,2025-04-30 00:44:15.000
A9CU081000048,C2060,1945834.0,977.0,2025-04-30 04:04:16.000
A9CU081000058,C2060,1826470.0,988.0,2025-04-30 05:02:01.000
A9CU081000225,C2060,895188.0,484.0,2025-04-30 01:24:10.000
A9CU081000286,C2060,719274.0,450.0,2025-04-30 01:30:55.000
A9CU081000318,C2060,1419646.0,702.0,2025-04-30 07:02:52.000
A9CU081000196,C2060,347126.0,334.0,2025-04-30 23:57:08.000
A9CU081000285,C2060,1028547.0,806.0,2025-04-30 04:44:11.000
A9CU081000312,C2060,684304.0,482.0,2025-04-30 01:15:05.000
A9CU081000167,C2060,335963.0,241.0,2025-04-17 03:17:00.000
A9CU081000305,C2060,1652148.0,988.0,2025-04-30 04:29:17.000
A9CU081000047,C2060,655933.0,604.0,2025-04-30 00:51:35.000
A92Y0T1000087,C6085,12357971.0,0.0,2025-04-30 05:14:57.000
A92Y0T1000043,C6085,4793936.0,0.0,2025-04-30 05:20:41.000
A92Y0T1000089,C6085,5113068.0,0.0,2025-04-30 04:17:27.000
A92Y0T1000036,C6085,5419626.0,0.0,2025-04-30 07:24:58.000
A92Y0T1000017,C6085,4795162.0,0.0,2025-04-30 04:18:57.000
A92Y0T1000069,C6085,10923957.0,0.0,2025-04-30 05:08:27.000
A92Y0T1000008,C6085,18608251.0,0.0,2025-04-30 05:59:51.000
A92Y0T1000102,C6085,7240743.0,0.0,2025-04-30 04:53:17.000
A92Y0T1000110,C6085,7860475.0,0.0,2025-04-30 05:39:27.000
A92Y0T1000114,C6085,12311067.0,0.0,2025-04-30 05:39:07.000
A92Y0T1000033,C6085,17018953.0,0.0,2025-04-30 06:48:58.000
A92Y0T1000073,C6085,11413443.0,0.0,2025-04-30 04:02:26.000
A92Y0T1000074,C6085,6034807.0,0.0,2025-04-30 06:01:01.000
A92Y0T1000065,C6085,23225799.0,0.0,2025-04-30 05:00:57.000
A92Y0T1000080,C6085,7977853.0,0.0,2025-04-30 06:41:07.000
A92Y0T1000108,C6085,13809168.0,0.0,2025-04-30 04:35:07.000
A92Y0T1000022,C6085,15246452.0,0.0,2025-04-30 04:58:21.000
A92Y0T1000026,C6085,3709739.0,0.0,2025-04-30 05:44:47.000
A92Y0T1000016,C6085,11375605.0,0.0,2025-04-30 03:56:26.000
A92Y0T1000086,C6085,16118409.0,0.0,2025-04-30 05:33:41.000
A92Y0T1000094,C6085,12549407.0,0.0,2025-04-30 05:29:47.000
A92Y0T1000023,C6085,2835469.0,0.0,2025-04-30 05:36:07.000
A92Y0T1000111,C6085,11632090.0,0.0,2025-04-30 04:27:07.000
